BNF_Section,BNF_Name,Prespecified,N_Wards,Total_Items,Kendall_Tau,P_Value,Significant,D1_Mean,D10_Mean
7.3,Contraceptives,True,178,114846,-0.13095918237795978,0.009451220305310332,False,57.33357973486152,51.89228514541948
7.4,Urinary Disorders,False,178,345758,-0.1295626229924459,0.010240235750447817,False,183.58240824178534,143.97238625759485
19.2,BNF 19.2,False,177,15955,-0.12609142270159218,0.012715022289621174,False,10.150092630575603,6.627001777606639
10.3,Topical Musculoskeletal,False,178,135281,-0.12575382466831717,0.01269799633529133,False,73.20664029916146,56.89466607270796
22.2,BNF 22.2,False,58,299,-0.12522686025408344,0.16496869131574954,False,0.4455870226715801,0.3117132222734465
9.1,Anaemias,False,178,389218,-0.12473814511521616,0.013435929050943473,False,207.8396824666771,175.58500304049082
1.4,Acute Diarrhoea,False,178,33568,-0.12397638545039041,0.014013996877082952,False,17.69823363886913,13.91172342664147
8.2,Immunosuppressants,False,178,39602,-0.12156414651177554,0.015991923276338287,False,19.774771897489675,17.688716120661994
2.11,Antifibrinolytic & Haemostatics,False,178,11571,-0.11965974734971117,0.017722790386393177,False,6.483805417072877,5.328405137211235
13.14,Topical Circulatory,False,137,2108,-0.11356805495920995,0.04898206187867403,False,1.3345756961601867,0.5730306308580548
1.6,Laxatives,False,178,460596,-0.11191519075731607,0.026562916280319093,False,246.87203973809235,197.21019588393017
1.7,Local Preparations Anal/Rectal,False,178,40791,-0.1110264711483527,0.027787798531836876,False,21.03565699107316,17.137805749245707
99.1,BNF 99.1,False,178,29593,-0.1089951120421507,0.030771683427819618,False,15.121781948561985,12.775253814681246
6.5,Hypothalamic & Pituitary,False,178,8156,-0.10823335237732495,0.03195951959819974,False,4.468369893693579,3.4260305587973385
22.40,BNF 22.40,False,17,35,-0.10294117647058822,0.5976439315443395,False,0.050462636590091606,0.07909006187452752
13.10,Anti-infective (Skin),False,178,87889,-0.10213927505871899,0.04295502308326574,False,47.894153700292044,39.83661928935229
5.1,Antibacterials,True,178,645642,-0.09998095600837936,0.047549288180000274,False,325.68510830535877,277.0896225039352
5.4,Antiprotozoals,False,175,29095,-0.090311986863711,0.07601078952103994,False,14.55229124937974,9.899263027045878
23.94,BNF 23.94,False,169,5711,-0.08537616229923924,0.0994020367917281,False,3.4438211840536463,2.797373354848192
23.90,BNF 23.90,False,51,172,-0.0823529411764706,0.39375238297739645,False,0.21802608784406194,0.2745536198868277
11.4,Anti-inflammatory (Eye),False,178,32961,-0.08119088427601093,0.10761592227822084,False,16.79978321119195,15.906628673887818
3.10,Systemic Nasal Decongestants,False,164,2875,-0.08065240161604072,0.12529758536854418,False,1.3092121938996946,0.6559623008046354
12.1,Ear,False,178,33120,-0.08036819556500502,0.11123896003896125,False,16.88769291008084,14.756783923636444
23.5,BNF 23.5,False,175,6163,-0.07993431855500821,0.11631475226551564,False,2.925191703953206,2.111531148551892
4.9,Parkinsonism,False,178,102915,-0.07090712880086333,0.15996080490483822,False,51.96900256726458,42.95645992330036
9.13,Nutrition (parenteral),False,178,198006,-0.06925664952707421,0.16990939743101996,False,104.00110030008881,88.67173551383247
2.3,Anti-Arrhythmia,False,178,12010,-0.0670983304767346,0.18360973170136186,False,7.2663850174295606,4.0837515284873565
12.3,Oropharyngeal,False,178,22396,-0.0670983304767346,0.18360973170136186,False,11.233548245903247,9.374701183276114
6.6,Bone Metabolism,False,178,122089,-0.05986161366088999,0.23550041795161636,False,63.222439685361195,51.962638211310406
8.1,Antineoplastics,False,176,8059,-0.05961038961038961,0.2401770073951417,False,3.8168584079986,3.243399508548722
21.19,BNF 21.19,False,114,441,-0.05589628151305941,0.3779944002821244,False,0.3327748009068452,0.18334424553068038
5.5,Anthelmintics,False,172,3844,-0.05249558003535972,0.30663871053028546,False,2.0678438284258003,1.6420499039325984
23.70,BNF 23.70,False,49,238,-0.0510204081632653,0.6050234382823837,False,0.5032323897063891,0.19674687697887352
23.15,BNF 23.15,False,178,18700,-0.04830825874436616,0.33839070147786987,False,9.564891891318739,8.357284723458541
23.46,BNF 23.46,False,106,663,-0.04761904761904763,0.4694073944279481,False,0.6382589301620981,0.31763447659884547
23.60,BNF 23.60,False,178,11274,-0.04703865930298991,0.35123858043763734,False,5.195778365202434,3.7322671578262554
9.14,Nutrition (other),False,169,6469,-0.04606931530008453,0.37392916491465067,False,3.5910530857895897,2.6627057250624624
9.10,Intravenous Nutrition,False,118,1121,-0.04476314645806172,0.47232106002609886,False,0.9033829987033339,0.7864832922269899
21.30,BNF 21.30,False,178,158394,-0.044372500476099794,0.3792099693767208,False,78.80070655019779,70.67539411882763
20.9,BNF 20.9,False,178,14590,-0.044372500476099794,0.3792099693767208,False,6.507629288238758,6.503955900635362
